target,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,COARSE,SAND,SILT,CLAY,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,TG,TN,TX,RR,RR1,Year
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,15.719693333332998,5.789949999999976,29.22165000000001,6.95036050047619,1.11904761904761,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,14.410571190475991,4.983029999999985,27.55110000000002,11.9258700738095,1.47619047619047,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,15.717617142857023,5.436699999999973,29.855320000000006,10.0309432509523,1.3095238095238,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,14.870867380952006,5.758699999999976,27.283169999999984,7.54294138095238,1.66666666666666,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,15.719693333332998,5.789949999999976,29.22165000000001,6.95036050047619,1.11904761904761,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,14.410571190475991,4.983029999999985,27.55110000000002,11.9258700738095,1.47619047619047,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,15.717617142857023,5.436699999999973,29.855320000000006,10.0309432509523,1.3095238095238,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,14.870867380952006,5.758699999999976,27.283169999999984,7.54294138095238,1.66666666666666,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,15.719693333332998,5.789949999999976,29.22165000000001,6.95036050047619,1.11904761904761,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,14.410571190475991,4.983029999999985,27.55110000000002,11.9258700738095,1.47619047619047,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,15.717617142857023,5.436699999999973,29.855320000000006,10.0309432509523,1.3095238095238,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,14.870867380952006,5.758699999999976,27.283169999999984,7.54294138095238,1.66666666666666,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,15.719693333332998,5.789949999999976,29.22165000000001,6.95036050047619,1.11904761904761,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,14.410571190475991,4.983029999999985,27.55110000000002,11.9258700738095,1.47619047619047,2021
0.0,50,ALha,C,9.0,MW,1,163,11,40,41,19,M,1.47,1.69,2.037,5.3,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,15.717617142857023,5.436699999999973,29.855320000000006,10.0309432509523,1.3095238095238,2021
